Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2020-11-28,Valencia,Ath Madrid,41,24,33,2,1,1,1,0.0,1.0,A
2020-11-28,Huesca,Sevilla,32,28,39,1,1,0,1,0.0,1.0,A
2020-11-28,Real Madrid,Alaves,62,21,15,2,1,1,0,1.0,2.0,A
2020-11-29,Barcelona,Osasuna,53,25,21,2,1,1,0,4.0,0.0,H
2020-11-29,Getafe,Ath Bilbao,37,28,34,1,1,1,0,1.0,1.0,D
2020-11-29,Celta,Granada,37,29,32,1,1,1,1,3.0,1.0,H
2020-11-29,Sociedad,Villarreal,62,18,18,2,1,1,1,1.0,1.0,D
2020-11-30,Betis,Eibar,48,28,22,1,1,1,0,0.0,2.0,A
2020-12-04,Ath Bilbao,Celta,59,22,18,2,1,1,0,0.0,2.0,A
2020-12-05,Levante,Getafe,43,27,29,1,1,1,0,3.0,0.0,H
2020-12-05,Sevilla,Real Madrid,44,22,32,2,1,1,1,0.0,1.0,A
2020-12-05,Ath Madrid,Valladolid,70,19,10,2,1,1,0,2.0,0.0,H
2020-12-05,Cadiz,Barcelona,36,25,37,1,1,1,1,2.0,1.0,H
2020-12-06,Granada,Huesca,59,24,16,2,1,1,0,3.0,3.0,D
2020-12-06,Osasuna,Betis,46,28,25,1,1,1,1,0.0,2.0,A
2020-12-06,Villarreal,Elche,61,21,16,2,1,1,0,0.0,0.0,D
2020-12-06,Alaves,Sociedad,34,25,39,1,1,1,1,0.0,0.0,D
2020-12-07,Eibar,Valencia,43,26,29,1,1,1,0,0.0,0.0,D
2020-12-11,Valladolid,Osasuna,51,26,21,2,1,1,0,3.0,2.0,H
2020-12-12,Valencia,Ath Bilbao,48,25,26,2,1,1,0,2.0,2.0,D
2020-12-12,Getafe,Sevilla,33,29,36,1,1,0,1,0.0,1.0,A
2020-12-12,Huesca,Alaves,37,28,33,1,1,0,1,1.0,0.0,H
2020-12-12,Real Madrid,Ath Madrid,43,25,31,2,1,1,1,2.0,0.0,H
2020-12-13,Sociedad,Eibar,60,21,17,2,1,1,0,1.0,1.0,D
2020-12-13,Betis,Villarreal,39,26,34,1,1,1,1,1.0,1.0,D
2020-12-13,Elche,Granada,41,25,33,1,1,1,1,0.0,1.0,A
2020-12-13,Barcelona,Levante,60,22,16,2,1,1,0,1.0,0.0,H
2020-12-14,Celta,Cadiz,47,25,27,2,1,1,1,4.0,0.0,H
2020-12-15,Real Madrid,Ath Bilbao,51,23,25,2,1,1,0,3.0,1.0,H
2020-12-16,Barcelona,Sociedad,52,22,25,2,1,1,1,2.0,1.0,H
2020-12-18,Ath Bilbao,Huesca,58,23,17,2,1,1,0,2.0,0.0,H
2020-12-19,Ath Madrid,Elche,62,21,15,2,1,1,0,3.0,1.0,H
2020-12-19,Barcelona,Valencia,56,22,21,2,1,1,0,2.0,2.0,D
2020-12-19,Levante,Sociedad,33,27,39,1,1,0,1,2.0,1.0,H
2020-12-19,Osasuna,Villarreal,27,29,43,1,1,0,1,1.0,3.0,A
2020-12-19,Sevilla,Valladolid,57,24,18,2,1,1,0,1.0,1.0,D
2020-12-20,Celta,Alaves,62,20,16,2,1,1,1,2.0,0.0,H
2020-12-20,Granada,Betis,55,23,20,2,1,1,0,2.0,0.0,H
2020-12-20,Cadiz,Getafe,53,26,19,2,1,1,0,0.0,2.0,A
2020-12-20,Eibar,Real Madrid,36,27,35,1,1,0,1,1.0,3.0,A
2020-12-22,Elche,Osasuna,50,26,22,2,1,1,0,2.0,2.0,D
2020-12-22,Valencia,Sevilla,43,27,29,1,1,1,1,0.0,1.0,A
2020-12-22,Huesca,Levante,41,29,28,1,1,1,1,1.0,1.0,D
2020-12-22,Sociedad,Ath Madrid,48,26,25,2,1,1,0,0.0,2.0,A
2020-12-22,Valladolid,Barcelona,36,26,37,1,1,1,1,0.0,3.0,A
2020-12-22,Villarreal,Ath Bilbao,56,22,21,2,1,1,0,1.0,1.0,D
2020-12-23,Getafe,Celta,32,28,39,1,1,1,1,1.0,1.0,D
2020-12-23,Real Madrid,Granada,59,20,20,2,1,1,1,2.0,0.0,H
2020-12-23,Alaves,Eibar,42,29,28,1,1,1,0,2.0,1.0,H
2020-12-23,Betis,Cadiz,46,27,25,1,1,1,0,1.0,0.0,H
2020-12-29,Sevilla,Villarreal,41,26,32,1,1,1,1,2.0,0.0,H
2020-12-29,Barcelona,Eibar,61,21,17,2,1,1,0,1.0,1.0,D
2020-12-29,Cadiz,Valladolid,51,27,20,2,1,1,0,0.0,0.0,D
2020-12-29,Levante,Betis,48,26,25,2,1,1,0,4.0,3.0,H
2020-12-30,Granada,Valencia,57,23,19,2,1,1,0,2.0,1.0,H
2020-12-30,Ath Madrid,Getafe,63,21,15,2,1,1,0,1.0,0.0,H
2020-12-30,Celta,Huesca,69,19,11,2,1,1,0,2.0,1.0,H
2020-12-30,Elche,Real Madrid,26,30,43,1,1,0,1,1.0,1.0,D
2020-12-31,Ath Bilbao,Sociedad,41,24,33,1,1,1,1,0.0,1.0,A
2020-12-31,Osasuna,Alaves,41,29,28,1,1,1,1,1.0,1.0,D
2021-01-02,Villarreal,Levante,53,24,22,2,1,1,0,2.0,1.0,H
2021-01-02,Betis,Sevilla,46,26,26,2,1,1,1,1.0,1.0,D
2021-01-02,Getafe,Valladolid,51,27,20,2,1,1,0,0.0,1.0,A
2021-01-02,Real Madrid,Celta,56,21,21,2,1,1,1,2.0,0.0,H
2021-01-03,Ath Bilbao,Elche,55,24,20,2,1,1,0,1.0,0.0,H
2021-01-03,Alaves,Ath Madrid,34,29,36,1,1,1,1,1.0,2.0,A
2021-01-03,Eibar,Granada,38,29,33,1,1,1,1,2.0,0.0,H
2021-01-03,Sociedad,Osasuna,60,22,17,2,1,1,0,1.0,1.0,D
2021-01-03,Huesca,Barcelona,31,29,39,1,1,0,1,0.0,1.0,A
2021-01-04,Valencia,Cadiz,49,27,23,2,1,1,0,1.0,1.0,D
2021-01-06,Ath Bilbao,Barcelona,40,27,32,1,1,1,1,2.0,3.0,A
2021-01-08,Celta,Villarreal,51,22,25,2,1,1,1,0.0,4.0,A
2021-01-09,Sevilla,Sociedad,49,23,26,2,1,1,0,3.0,2.0,H
2021-01-09,Granada,Barcelona,38,26,34,1,1,1,1,0.0,4.0,A
2021-01-09,Osasuna,Real Madrid,28,28,43,1,2,0,1,0.0,0.0,D
2021-01-10,Levante,Eibar,47,25,27,2,1,1,0,2.0,1.0,H
2021-01-10,Cadiz,Alaves,44,28,26,1,1,1,0,3.0,1.0,H
2021-01-10,Valladolid,Valencia,45,26,27,1,1,1,0,0.0,1.0,A
2021-01-11,Elche,Getafe,45,28,25,1,1,1,0,1.0,3.0,A
2021-01-11,Huesca,Betis,36,29,34,1,1,1,0,0.0,2.0,A
2021-01-12,Granada,Osasuna,53,25,20,2,1,1,0,2.0,0.0,H
2021-01-12,Ath Madrid,Sevilla,54,23,22,2,1,1,0,2.0,0.0,H
2021-01-19,Cadiz,Levante,48,26,25,2,1,1,0,2.0,2.0,D
2021-01-19,Valladolid,Elche,43,28,27,1,1,1,0,2.0,2.0,D
2021-01-19,Alaves,Sevilla,37,29,33,1,1,1,1,1.0,2.0,A
2021-01-20,Getafe,Huesca,59,24,16,2,1,1,0,1.0,0.0,H
2021-01-20,Betis,Celta,53,24,21,2,1,1,0,2.0,1.0,H
2021-01-20,Villarreal,Granada,62,20,16,2,1,1,0,2.0,2.0,D
2021-01-21,Valencia,Osasuna,51,26,21,2,1,1,0,1.0,1.0,D
