Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,24/10/2020,Sevilla,11,2,15,4,5.0,2.0,Eibar,3,8,2,20,1.0,5.0,A,0.0,1.0,0.0,1.0
2020-21,24/10/2020,Ath Madrid,10,2,15,2,3.0,2.0,Betis,6,8,8,3,0.0,3.0,H,2.0,0.0,0.0,0.0
2020-21,25/10/2020,Valladolid,7,9,5,18,3.0,2.0,Alaves,6,9,5,19,4.0,4.0,A,0.0,2.0,0.0,0.0
2020-21,25/10/2020,Cadiz,3,8,2,13,2.0,4.0,Villarreal,4,6,3,6,2.0,4.0,D,0.0,0.0,0.0,0.0
2020-21,25/10/2020,Getafe,4,6,6,10,3.0,2.0,Granada,3,10,1,7,0.0,4.0,A,0.0,1.0,0.0,1.0
2020-21,25/10/2020,Sociedad,6,5,10,9,2.0,1.0,Huesca,1,5,3,17,1.0,2.0,H,4.0,1.0,1.0,0.0
2020-21,26/10/2020,Levante,5,6,4,15,2.0,2.0,Celta,7,8,5,11,5.0,3.0,D,1.0,1.0,0.0,0.0
2020-21,30/10/2020,Eibar,4,6,6,20,1.0,4.0,Cadiz,2,5,3,17,0.0,1.0,A,0.0,2.0,0.0,2.0
2020-21,31/10/2020,Real Madrid,6,5,7,2,3.0,2.0,Huesca,4,4,5,16,1.0,2.0,H,4.0,1.0,2.0,0.0
2020-21,31/10/2020,Ath Bilbao,6,5,8,11,3.0,1.0,Sevilla,8,2,12,3,2.0,0.0,H,2.0,1.0,0.0,1.0
2020-21,31/10/2020,Osasuna,3,8,5,12,2.0,3.0,Ath Madrid,7,3,11,1,4.0,1.0,A,1.0,3.0,0.0,1.0
2020-21,31/10/2020,Alaves,4,7,4,18,2.0,3.0,Barcelona,9,4,10,4,5.0,0.0,D,1.0,1.0,1.0,0.0
2020-21,1/11/2020,Betis,0,0,0,-1,0.0,0.0,Elche,0,0,0,-1,0.0,0.0,H,3.0,1.0,2.0,0.0
2020-21,1/11/2020,Celta,0,0,0,-1,0.0,0.0,Sociedad,0,0,0,-1,0.0,0.0,A,1.0,4.0,0.0,2.0
2020-21,1/11/2020,Granada,0,0,0,-1,0.0,0.0,Levante,0,0,0,-1,0.0,0.0,D,1.0,1.0,1.0,1.0
2020-21,1/11/2020,Valencia,0,0,0,-1,0.0,0.0,Getafe,0,0,0,-1,0.0,0.0,D,2.0,2.0,1.0,0.0
2020-21,2/11/2020,Villarreal,11,8,7,6,2.0,3.0,Valladolid,5,4,8,12,1.0,2.0,H,2.0,0.0,2.0,0.0
2020-21,6/11/2020,Elche,0,0,0,-1,0.0,0.0,Celta,5,5,6,15,1.0,1.0,D,1.0,1.0,1.0,1.0
2020-21,7/11/2020,Huesca,0,0,0,-1,0.0,0.0,Eibar,4,8,4,13,2.0,2.0,D,1.0,1.0,0.0,1.0
2020-21,7/11/2020,Barcelona,14,7,9,2,7.0,4.0,Betis,7,5,9,17,2.0,3.0,H,5.0,2.0,1.0,1.0
2020-21,7/11/2020,Sevilla,6,6,8,3,3.0,3.0,Osasuna,7,6,7,9,1.0,2.0,H,1.0,0.0,0.0,0.0
2020-21,7/11/2020,Ath Madrid,7,3,9,4,5.0,2.0,Cadiz,0,0,0,-1,0.0,0.0,H,4.0,0.0,2.0,0.0
2020-21,8/11/2020,Getafe,1,9,1,14,1.0,5.0,Villarreal,10,5,8,7,9.0,1.0,A,1.0,3.0,1.0,2.0
2020-21,8/11/2020,Sociedad,8,2,11,5,3.0,0.0,Granada,7,8,4,9,3.0,3.0,H,2.0,0.0,2.0,0.0
2020-21,8/11/2020,Levante,5,7,4,13,3.0,3.0,Alaves,4,4,8,16,0.0,3.0,D,1.0,1.0,0.0,1.0
2020-21,8/11/2020,Valladolid,2,6,3,19,2.0,1.0,Ath Bilbao,6,8,5,10,3.0,2.0,H,2.0,1.0,1.0,0.0
2020-21,8/11/2020,Valencia,5,5,6,15,1.0,3.0,Real Madrid,10,3,13,2,3.0,1.0,H,4.0,1.0,2.0,1.0
2020-21,20/11/2020,Osasuna,3,4,5,11,1.0,2.0,Huesca,2,5,4,15,1.0,1.0,D,1.0,1.0,0.0,1.0
2020-21,21/11/2020,Levante,5,7,4,14,2.0,4.0,Elche,6,7,6,19,5.0,1.0,D,1.0,1.0,1.0,0.0
2020-21,21/11/2020,Villarreal,7,6,8,3,3.0,3.0,Real Madrid,10,2,13,1,7.0,2.0,D,1.0,1.0,0.0,1.0
2020-21,21/11/2020,Sevilla,6,4,9,5,3.0,2.0,Celta,4,9,3,11,3.0,5.0,H,4.0,2.0,2.0,2.0
2020-21,21/11/2020,Ath Madrid,11,4,12,4,4.0,2.0,Barcelona,12,7,8,7,4.0,1.0,H,1.0,0.0,1.0,0.0
2020-21,22/11/2020,Eibar,4,11,1,20,3.0,6.0,Getafe,6,7,7,13,2.0,4.0,D,0.0,0.0,0.0,0.0
2020-21,22/11/2020,Cadiz,4,10,2,9,2.0,7.0,Sociedad,8,7,10,8,3.0,3.0,A,0.0,1.0,0.0,0.0
